sku,product_name,product_slug,category,preset,source_filename,asset_type,candidate_number,output_filename,provider,model,prompt_hash,source_sha256,output_sha256,width,height,quality,generation_mode,api_request_id,api_attempts,estimated_cost,qa_status,product_fidelity_score,silhouette_score,scene_detail_score,scene_similarity_max,background_text_detected,duplicate_product_detected,warnings,created_at,processing_time_seconds
404001,Halo Dynamic Cream,halo-dynamic-cream,repairing skincare,botanical_repair,halo-dynamic-cream.png,clean-cutout,1,output/products/halo-dynamic-cream/final/01-clean-cutout.png,local-compositor,Pillow/OpenCV,,4c55bf60606f07933d058368c36dcafbc11d23b3a215a0ae84b9f5c3703bdc40,43dab9031ffa36f1d5d7ef7e0079dcb6674f1778d853400e4ef9986908e4da53,1600,1600,high,SAFE_COMPOSITE,,0,0.0,PASS,1.0,1.0,,,False,False,LOW_RESOLUTION_SOURCE,2026-07-27T20:45:35.384984+00:00,6.91
404001,Halo Dynamic Cream,halo-dynamic-cream,repairing skincare,botanical_repair,halo-dynamic-cream.png,hero,1,output/products/halo-dynamic-cream/final/02-hero.png,folder,built-in-imagegen-plate,f8b43794b743920cfe984a953dddf69c683a8eb2d9f5d226e58dbb6317319736,4c55bf60606f07933d058368c36dcafbc11d23b3a215a0ae84b9f5c3703bdc40,fb1bfa3d861719f90a1ea11e119f4ba231a4e020ca9d98bcc1a3420c486663f7,2048,2048,high,SAFE_COMPOSITE,,1,0.0,PASS,1.0,1.0,0.7148,0.0,False,False,LOW_RESOLUTION_SOURCE,2026-07-27T20:45:39.235992+00:00,10.756
307001,Eau De Parfum Nona,eau-de-parfum-nona,perfume,perfume_luxury,eau-de-parfum-nona.png,clean-cutout,1,output/products/eau-de-parfum-nona/final/01-clean-cutout.png,local-compositor,Pillow/OpenCV,,31c980637200ce26f6e7223a2aa18038ac4faf404dbfa802d1ea6767241f4c14,015687f5815c9d851ce4c11a001a2704ce99fdee9b7786f88389e48e69d3aeab,1600,1600,high,SAFE_COMPOSITE,,0,0.0,PASS,1.0,1.0,,,False,False,LOW_RESOLUTION_SOURCE,2026-07-27T20:45:46.871664+00:00,7.613
307001,Eau De Parfum Nona,eau-de-parfum-nona,perfume,perfume_luxury,eau-de-parfum-nona.png,hero,1,output/products/eau-de-parfum-nona/final/02-hero.png,folder,built-in-imagegen-plate,4af383720ff879ef2b2893c2800b8e1b89e5fe9b66c4f81b0d4e7487a948733c,31c980637200ce26f6e7223a2aa18038ac4faf404dbfa802d1ea6767241f4c14,ca22814ad271ea47edacd139181f3d15c8c1c6eff68f281f23270f403cb5e8d5,2048,2048,high,SAFE_COMPOSITE,,1,0.0,PASS,1.0,1.0,0.72,0.5625,False,False,,2026-07-27T20:45:50.861996+00:00,11.596
230111,Halo Gonseen VitaliTea,halo-gonseen-vitalitea,tea,herbal_tea,halo-gonseen-vitalitea.png,clean-cutout,1,output/products/halo-gonseen-vitalitea/final/01-clean-cutout.png,local-compositor,Pillow/OpenCV,,487857700277d94c37354985b9ad8fb5272e0c61ddcad4a7258b83342e32f90f,2ad7d3295e1bad4f3ee941a00d2fa5f909d85953459d0bfcbd2843565276f99f,1600,1600,high,SAFE_COMPOSITE,,0,0.0,PASS,1.0,1.0,,,False,False,LOW_RESOLUTION_SOURCE,2026-07-27T20:45:57.432798+00:00,6.549
230111,Halo Gonseen VitaliTea,halo-gonseen-vitalitea,tea,herbal_tea,halo-gonseen-vitalitea.png,hero,1,output/products/halo-gonseen-vitalitea/final/02-hero.png,folder,built-in-imagegen-plate,2db3cb5cd93a576fad16637c93d014157c93827544e02befbf3d6181e91d559e,487857700277d94c37354985b9ad8fb5272e0c61ddcad4a7258b83342e32f90f,a0881ed074369735ccbb16da5b133b08d164346f4099cc45b81fb3129c60eec3,2048,2048,high,SAFE_COMPOSITE,,1,0.0,PASS,1.0,1.0,0.8085,0.5312,False,False,LOW_RESOLUTION_SOURCE,2026-07-27T20:46:01.422475+00:00,10.531
